广汇能源股份有限公司,23,"656,575.513900",140969,4.66,5999,20.89,7.6,25.59,0.17,0.85,0.10,0.19,107.57,2.51,463.12,17.46,0.58,,15.47,19.50,13.84,22.03,35.92,205.06,126.36,,,151.05,194.12,,31.34,133.29,160.15,,17.54,38.44,-1.16,61.56,"1,344.49",21.97,0.58,0.63,12.23,31.74,13.04,38.09,27.43,66.82,22.37,126.99,126.99,31.82,12.23,,3.85,0.26,151.05,"3,727,884","1,183,216","1,022,728","1,392","1,305","1,024,034","833,801","706,844","265,384","6,817,684","1,730,435","4,197,042","2,762,380","2,649,370",34.63,"3,727,884","2,490,862","1,022,728","1,024,034","190,233","833,801",1.28,"606,853","361,892","136,972","1,730,435",,"6,817,684","2,762,380","1,434,662","4,197,042","2,620,642","193,645","706,844","-234,858","-207,690","265,384","459,029","1,730,435","5,087,249","6,817,684","2,762,380","1,434,662","4,197,042","2,620,642","6,817,684"
无锡洪汇新材料科技股份有限公司,21,"14,023.230000",10083,1.39,306,21.9,18.3,208.17,1.79,2.20,0.18,0.32,341.90,0.79,470.88,34.01,0.57,,7.94,48.02,5.62,1.43,11.93,5.27,-24.66,,,9.76,31.71,,,,11.33,,,89.82,,10.18,"-1,339.21",76.68,7.54,8.16,8.28,28.40,8.23,20.56,16.76,70.80,14.36,43.61,43.61,9.22,8.28,,8.84,3.04,9.76,"42,593","12,095","7,137",308,-94,"7,043","6,116","13,467","-1,796","73,833","52,807","7,516","6,469","66,317",9.50,"42,593","30,157","7,137","7,043",927,"6,116",0.44,"4,960","5,664","4,031","52,807",,"73,833","6,469","1,047","7,516","66,317","6,757","13,467","-12,792","-2,618","-1,796","4,960","52,807","21,026","73,833","6,469","1,047","7,516","66,317","73,833"
华天酒店集团股份有限公司,,"101,892.600000",55220,1.85,3354,10.14,8.29,0.08,0.00,,0.00,0.01,869.01,0.31,"3,873.74",598.67,0.07,,0.45,25.26,10.69,-12.03,0.87,,-16.93,,,238.03,272.47,,16.74,226.87,253.48,,5.69,28.29,-0.15,71.71,-103.35,7.61,0.16,0.37,-3.84,4.25,-3.79,-31.41,-54.13,87.58,-54.36,-20.63,-20.63,-13.59,-3.84,,79.28,4.44,238.03,"38,677","1,644","-20,934",-617,-328,"-21,261","-21,023",278,"7,522","546,859","125,323","392,151","337,157","193,445",-8.83,"38,677","33,872","-20,934","-21,261",-238,"-21,023",-0.18,"25,656","5,348","70,500","125,323",,"546,859","337,157","54,995","392,151","154,708","17,763",278,"3,613","3,631","7,522","25,285","125,323","421,536","546,859","337,157","54,995","392,151","154,708","546,859"
广东省广告集团股份有限公司,,"174,333.712800",156253,1.12,3059,75.25,21.35,-29.20,-0.29,-8.55,-0.11,-0.09,153.36,1.76,229.46,0.13,1.18,,"2,051.71",79.74,3.39,4.90,2.32,-1.56,2.96,,,61.86,53.90,,,,63.04,,,61.34,,38.66,"-4,780.38",24.60,1.76,1.76,1.30,7.89,1.29,1.66,1.18,91.77,1.09,5.81,5.81,2.11,1.30,,5.44,31.81,61.86,"926,241","73,093","10,923",693,"4,079","15,001","10,136","-86,669","-71,496","782,241","523,641","302,442","296,796","469,878",2.31,"926,241","849,966","10,923","15,001","4,865","10,136",0.06,"73,003","252,891",396,"523,641",,"782,241","296,796","5,646","302,442","479,799","143,607","-86,669","-4,330","18,862","-71,496","72,112","523,641","258,600","782,241","296,796","5,646","302,442","479,799","782,241"
四川美丰化工股份有限公司,25,"58,572.375200",63531,0.92,2391,0.0,12.76,132.26,1.25,1.56,0.19,0.26,183.11,1.47,339.75,33.59,0.79,,8.04,4.95,54.52,15.01,23.61,54.67,28.35,,,17.89,51.56,,0.48,51.31,18.39,,0.41,84.47,0.01,15.53,"-23,888.58",174.31,3.39,3.84,12.46,27.09,13.09,23.71,19.35,72.10,16.47,103.86,103.86,14.75,12.46,,8.77,4.32,17.89,"369,311","100,033","71,477","3,037",55,"71,532","60,834","94,936","58,890","488,302","275,642","75,855","71,783","384,675",14.12,"369,311","266,284","71,477","71,532","10,697","60,834",0.89,"125,123","7,406","32,562","275,642",,"488,302","71,783","4,072","75,855","412,447","65,884","94,936","-9,047","-26,992","58,890","124,775","275,642","212,661","488,302","71,783","4,072","75,855","412,447","488,302"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宇通客车股份有限公司,25,"221,393.922300",135534,1.63,15737,43.89,23.85,3.84,0.03,3.25,0.02,0.03,386.82,0.70,619.83,155.45,0.44,,1.74,97.56,2.77,-14.66,-4.56,-49.66,-16.28,,,80.63,79.95,,,,99.79,,,50.05,,49.95,94.14,39.22,0.97,1.49,0.48,19.35,0.44,0.12,0.17,79.31,1.02,6.05,6.05,0.95,0.48,,9.83,"1,246.01",80.63,"1,311,348","253,780","2,190","18,795",-741,"1,449","13,383","43,442","-152,725","2,803,904","1,681,915","1,400,494","1,131,535","1,391,665",0.89,"1,311,348","1,040,064","2,190","1,449","-11,934","13,383",0.06,"410,184","394,561","587,017","1,681,915",,"2,803,904","1,131,535","268,959","1,400,494","1,403,410","561,918","43,442","-57,993","-143,115","-152,725","409,193","1,681,915","1,121,989","2,803,904","1,131,535","268,959","1,400,494","1,403,410","2,803,904"
江苏亿通高科技股份有限公司,21,"30,267.597300",11836,2.56,190,40.0,44.21,-23.72,-0.23,-1.05,-0.04,-0.10,480.77,0.56,623.84,65.65,0.43,,4.11,112.38,2.40,8.28,9.34,52.31,81.61,,,21.20,27.06,,,,21.54,,,82.28,,17.72,"-8,522.51",254.92,3.93,4.46,3.94,27.21,4.01,12.79,10.11,72.25,9.26,8.17,8.17,4.79,3.94,,6.93,1.26,21.20,"26,717","7,269","2,702",12,22,"2,724","2,474","-2,596","-3,374","62,757","48,783","11,124","10,945","51,634",4.98,"26,717","19,302","2,702","2,724",251,"2,474",0.08,"26,964","11,800","5,816","48,783",,"62,757","10,945",179,"11,124","51,634","29,907","-2,596",-213,-519,"-3,374","26,533","48,783","13,974","62,757","10,945",179,"11,124","51,634","62,757"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
